year;province_name;regency_name;poverty_amount;poverty_percentage;unemployed_percentage;uneducated_percentage
2023;Jambi;Bungo;20650;5,29;38,87;86,55
2023;Jambi;Jambi;50090;8,24;44,27;54,15
2023;Jambi;Sungai Penuh;2660;3;52,38;83,11
2023;Sumatera Selatan;Ogan Komering Ulu;44110;11,46;38,58;79,55
2023;Sumatera Selatan;Ogan Komering Ilir;114480;13,15;43,43;81,42
2023;Sumatera Selatan;Muara Enim;73240;10,93;41,13;81,77
2023;Sumatera Selatan;Lahat;63360;15;35,97;75,94
2023;Sumatera Selatan;Musi Rawas;59750;14,13;33,72;79,53
2023;Sumatera Selatan;Musi Banyuasin;101630;14,9;52,48;71,68
2023;Sumatera Selatan;Banyu Asin;85880;9,58;42,58;80,48
2023;Sumatera Selatan;Ogan Komering Ulu Selatan;39300;10,36;46,84;70,65
2023;Sumatera Selatan;Ogan Komering Ulu Timur;69910;9,99;43;77,77
2023;Sumatera Selatan;Ogan Ilir;59330;13,28;41,92;81,97
2023;Sumatera Selatan;Empat Lawang;30780;11,8;36,67;70,11
2023;Sumatera Selatan;Penukal Abab Lematang llir;21723;10,91;30,87;85,98
2023;Sumatera Selatan;Musi Rawas Utara;36680;18,26;34,96;76,03
2023;Sumatera Selatan;Palembang;179450;10,22;49,31;55,64
2023;Sumatera Selatan;Prabumulih;22330;11,23;35,11;64,12
2023;Sumatera Selatan;Pagar Alam;12730;8,88;38,88;64,44
2023;Sumatera Selatan;Lubuklinggau;31020;12,65;51,41;73,24
2023;Bengkulu;Bengkulu Selatan;31890;17,51;41,68;66,63
2023;Bengkulu;Rejang Lebong;41180;14,79;31,07;67,32
2023;Bengkulu;Bengkulu Utara;35260;11,29;37,22;72,98
2023;Bengkulu;Kaur;22450;17,83;34,58;74,04
2023;Bengkulu;Seluma;36320;18;35,2;76,85
2023;Bengkulu;Mukomuko;20700;10,76;46,14;64,74
2023;Bengkulu;Lebong;13230;11,15;32,36;76,7
2023;Bengkulu;Kepahiang;20320;14,12;34,15;79,92
2023;Bengkulu;Bengkulu Tengah;11010;9,4;31,33;81,89
2023;Bengkulu;Bengkulu;56100;14,71;42,31;50,15
2023;Lampung;Lampung Barat;34730;11,17;37,35;77,48
2023;Lampung;Tanggamus;65180;10,52;43,67;81,58
2023;Lampung;Lampung Selatan;133670;12,79;40,76;76,32
2023;Lampung;Lampung Timur;148260;13,8;46,29;71,89
2023;Lampung;Lampung Tengah;140290;10,65;36,38;76,75
2023;Lampung;Lampung Utara;107210;17,17;49,34;71,16
2023;Lampung;Way Kanan;51260;11,02;44,16;78,8
2023;Lampung;Tulangbawang;37830;8,04;49,42;69,16
2023;Lampung;Pesawaran;59290;12,89;40,87;71,46
2023;Lampung;Pringsewu;37600;9,14;45,58;77,09
2023;Lampung;Mesuji;13710;6,73;45,1;72,58
2023;Lampung;Tulang Bawang Barat;20320;7,25;54,96;83,96
2023;Lampung;Pesisir Barat;21449;13,49;40,27;72,39
2023;Lampung;Bandar Lampung;87080;7,77;38,25;70,82
2023;Lampung;Metro;12800;7,28;51,52;65,32
2023;Bangka Belitung;Bangka;14870;4,32;26,94;73,65
2023;Bangka Belitung;Belitung;12510;6,46;42,21;82,13
2023;Bangka Belitung;Bangka Barat;5910;2,71;50,68;89,88
2023;Bangka Belitung;Bangka Tengah;10580;5,29;53,5;90,62
2023;Bangka Belitung;Bangka Selatan;6660;3,11;55,27;90,5
2023;Bangka Belitung;Belitung Timur;8890;6,73;49,24;82,2
2023;Bangka Belitung;Pangkalpinang;9270;4,27;53,49;64,39
2023;Kepulauan Riau;Karimun;14330;5,95;45,38;83,11
2023;Kepulauan Riau;Bintan;9860;5,9;42,76;66,39
2023;Kepulauan Riau;Natuna;4300;5,25;44,5;62,83
2023;Kepulauan Riau;Lingga;10180;11,26;42,79;86,24
2023;Kepulauan Riau;Kepulauan Anambas;3080;6,95;51,47;70,84
2023;Kepulauan Riau;Batam;83090;5,02;44,27;63,38
2023;Kepulauan Riau;Tanjungpinang;17670;7,95;47,43;52,5
2023;DKI Jakarta;Kepulauan Seribu;3470;13,13;47,91;70,43
2023;DKI Jakarta;Jakarta Selatan;71900;3,1;48,02;49,5
2023;DKI Jakarta;Jakarta Timur;124220;4,2;52,46;47,23
2023;DKI Jakarta;Jakarta Pusat;42780;4,68;58,65;40,69
2023;DKI Jakarta;Jakarta Barat;109490;4,09;60,03;61,6
2023;DKI Jakarta;Jakarta Utara;125980;6,78;53,64;67,69
2023;Jawa Barat;Bogor;453760;7,27;53,97;82,68
2023;Jawa Barat;Sukabumi;178710;7,01;52,64;87,49
2023;Jawa Barat;Cianjur;240060;10,22;48,49;87,18
2023;Jawa Barat;Bandung;245490;6,4;50,81;74,16
2023;Jawa Barat;Garut;260480;9,77;47,3;84,94
2023;Jawa Barat;Tasikmalaya;186870;10,28;42,17;88,1
2023;Jawa Barat;Ciamis;90840;7,42;41,4;86,06
2023;Jawa Barat;Kuningan;133880;12,12;49,34;83,92
2023;Jawa Barat;Cirebon;249180;11,2;57,9;81,35
2023;Jawa Barat;Majalengka;138740;11,21;50,41;86,52
2023;Jawa Barat;Sumedang;111390;9,36;44,62;75,55
2023;Jawa Barat;Indramayu;214740;12,13;49,93;79,96
2023;Jawa Barat;Subang;152330;9,52;38,62;80,29
2023;Jawa Barat;Purwakarta;81540;8,46;51,1;80,24
2023;Jawa Barat;Karawang;187230;7,87;51,84;86,3
2023;Jawa Barat;Bekasi;204090;4,93;43,02;78,92
2023;Jawa Barat;Bandung Barat;179430;10,52;52,47;82,42
2023;Jawa Barat;Pangandaran;36700;8,98;31,97;87,49
2023;Jawa Barat;Kota Bogor;74950;6,67;44,57;67,61
2023;Jawa Barat;Kota Sukabumi;24960;7,5;55,71;59,28
2023;Jawa Barat;Kota Bandung;102800;3,96;54,74;72,45
2023;Jawa Barat;Kota Cirebon;29490;9,16;40,22;76,67
2023;Jawa Barat;Kota Bekasi;129400;4,1;53,35;40,26
2023;Jawa Barat;Depok;61950;2,38;33,61;66,55
2023;Jawa Barat;Cimahi;28560;4,66;58,02;58,48
2023;Jawa Barat;Kota Tasikmalaya;79370;11,53;45,4;80,95
2023;Jawa Barat;Kota Banjar;11660;6,14;44,64;75,63
2023;Jawa Tengah;Cilacap;191000;10,99;47,64;86,68
2023;Jawa Tengah;Banyumas;216500;12,53;42,56;80,98
2023;Jawa Tengah;Purbalingga;143410;14,99;36,3;89,79
2023;Jawa Tengah;Banjarnegara;138990;14,9;34,23;86,02
2023;Jawa Tengah;Kebumen;195450;16,34;34,22;82,74
2023;Jawa Tengah;Purworejo;81280;11,33;38,01;67,64
2023;Jawa Tengah;Wonosobo;123700;15,58;34,94;91,27
2023;Jawa Tengah;Magelang;144490;10,96;35,82;79
2023;Jawa Tengah;Boyolali;97480;9,81;33,49;78,77
